register_model,object_uri,baseline_id,source_definition,target_definition,dependencies,policy_context,data_context,test_contract,adapters,evidence_fingerprint,stale_kinds
view:engagement_actions_fact,looker:analytics:view:engagement_actions_fact,b001,82b3ab594f0d8f518072f3e1cc4f4ce8ac1d576e:99216522e83217c605618a07c12638a9e0876985381683513e720297d6484f65,absent,5d06d9bc7ffa3fcdf75a9183509c7df33a59cce44bc6398fabc04223a7cc0c63,50d878092a1d0f8372d5f97939d2ab8eeac067bcb7084e9645046f9145951d9f,2026-09-05T23:59:59Z,absent,converter 1.1.0; pair c1d0dfddf5a1cd4afbc80101e4bac698443b8bc52b7ea427ea4c17f3e115945c; comparator bi_parity.py sha256:0803a81993929500 (no version constant),e22916da86d7a663eaf502a03ba930cb0252799c535f049bb22eeec0dc2025dc,
view:page_first_published,looker:analytics:view:page_first_published,b001,82b3ab594f0d8f518072f3e1cc4f4ce8ac1d576e:5e888e6f31f19fee4999fee0b910de8d1650461aa726fcbaf5f3cdd87c5880f9,absent,3962e7a32410daf583ecf99dcc05424c83a4ecdb55d24619b2118756177431d5,50d878092a1d0f8372d5f97939d2ab8eeac067bcb7084e9645046f9145951d9f,2026-09-05T23:59:59Z,absent,converter 1.1.0; pair c1d0dfddf5a1cd4afbc80101e4bac698443b8bc52b7ea427ea4c17f3e115945c; comparator bi_parity.py sha256:0803a81993929500 (no version constant),91470db9a922afa56740ebaab0fa9b920f1f7cca27fe10f0b84fffc1aa2de783,
view:web_events_fact,looker:analytics:view:web_events_fact,b001,82b3ab594f0d8f518072f3e1cc4f4ce8ac1d576e:a3e16f9a3178518d64fab9e5f7d169f9c4f7d54e66538a56193c265143fb8fee,absent,457ca5e19b43ad783e316c53ba90cb0e0dc83b7864ae8fc75d7965c6eb03e863,50d878092a1d0f8372d5f97939d2ab8eeac067bcb7084e9645046f9145951d9f,2026-09-05T23:59:59Z,absent,converter 1.1.0; pair c1d0dfddf5a1cd4afbc80101e4bac698443b8bc52b7ea427ea4c17f3e115945c; comparator bi_parity.py sha256:0803a81993929500 (no version constant),de63b641fa38172ce888aa97f09a25556036f18da32f93d96a1775f8593f9858,
view:web_sessions_fact,looker:analytics:view:web_sessions_fact,b001,82b3ab594f0d8f518072f3e1cc4f4ce8ac1d576e:506eb5f834f5ba58df92df13764f75dd69521861599bb74f21f14f63c3affe0b,absent,2554049e4f04d411a34da43eb3aac9cff693f6541379082f63ba6ca5dfd12ef6,50d878092a1d0f8372d5f97939d2ab8eeac067bcb7084e9645046f9145951d9f,2026-09-05T23:59:59Z,absent,converter 1.1.0; pair c1d0dfddf5a1cd4afbc80101e4bac698443b8bc52b7ea427ea4c17f3e115945c; comparator bi_parity.py sha256:0803a81993929500 (no version constant),8902c54965f54f5ed136f3879f54bb3d452f2efb78a236eb97b0234ee8db1955,
view:wh_sessions_attribution,looker:analytics:view:wh_sessions_attribution,b001,82b3ab594f0d8f518072f3e1cc4f4ce8ac1d576e:8743031589d74e89dd36113062dfdc471fe8b55864b401223770bdfdcb824465,absent,e233c379d77c47f6cf805cc10bf75324cd90442a9016671db31e7116c3d6c0e0,50d878092a1d0f8372d5f97939d2ab8eeac067bcb7084e9645046f9145951d9f,2026-09-05T23:59:59Z,absent,converter 1.1.0; pair c1d0dfddf5a1cd4afbc80101e4bac698443b8bc52b7ea427ea4c17f3e115945c; comparator bi_parity.py sha256:0803a81993929500 (no version constant),2eab8b6a57118b23484b131d3be9fea12c0fabb964f59e095f68126add846ba9,
view:bank_account_details,looker:analytics:view:bank_account_details,b001,82b3ab594f0d8f518072f3e1cc4f4ce8ac1d576e:f38dcba2c7554d1e2e170cfaf146a264a116c39bb03d83bbcff9310318afb187,absent,a466d11776ac6d28b42efcd63f41df16e16a4bae1515a1854b051a96368bcfc6,50d878092a1d0f8372d5f97939d2ab8eeac067bcb7084e9645046f9145951d9f,2026-09-05T23:59:59Z,absent,converter 1.1.0; pair c1d0dfddf5a1cd4afbc80101e4bac698443b8bc52b7ea427ea4c17f3e115945c; comparator bi_parity.py sha256:0803a81993929500 (no version constant),189a333a83b66696f507269403d61d2a7f3833afa561f0fe0aa7a70d21f9604d,
view:bank_transactions_fact,looker:analytics:view:bank_transactions_fact,b001,82b3ab594f0d8f518072f3e1cc4f4ce8ac1d576e:5ea64d43ad3f6132d00e0c2b9483aeb23a20a77829e441ddd6e2232620d5890c,absent,b1b6149d2e320b542c31bf2ff541ea7aa0ea45387310da5877914bb94c189ce1,50d878092a1d0f8372d5f97939d2ab8eeac067bcb7084e9645046f9145951d9f,2026-09-05T23:59:59Z,absent,converter 1.1.0; pair c1d0dfddf5a1cd4afbc80101e4bac698443b8bc52b7ea427ea4c17f3e115945c; comparator bi_parity.py sha256:0803a81993929500 (no version constant),b480c67704e9f7ac061558acef690a6b159a5b79b9ebbff862b1d05fff7c334e,
view:chart_of_accounts_dim,looker:analytics:view:chart_of_accounts_dim,b001,82b3ab594f0d8f518072f3e1cc4f4ce8ac1d576e:f9645d65042f21961d42f8dadbc849b145a4f6cc7891fc9edac99aff4622fb10,absent,8ab681aad256cd9c357e77a456559b35ccb693a6f16724f144b8c47ecca5e91e,50d878092a1d0f8372d5f97939d2ab8eeac067bcb7084e9645046f9145951d9f,2026-09-05T23:59:59Z,absent,converter 1.1.0; pair c1d0dfddf5a1cd4afbc80101e4bac698443b8bc52b7ea427ea4c17f3e115945c; comparator bi_parity.py sha256:0803a81993929500 (no version constant),37c364a4d8466e3212666c2afa69bfeb59ccb0334bab2bf80f29ff98a7010781,
view:general_ledger_fact,looker:analytics:view:general_ledger_fact,b001,82b3ab594f0d8f518072f3e1cc4f4ce8ac1d576e:b7c61bf7327ed526573cf1781e5932dcf6406f9891053a534c0a7ff9d5ff1776,absent,de8d829151e7227c26a523c4dbe12d351f4e2b1f95828f6cc73a8d83f5bd0e02,50d878092a1d0f8372d5f97939d2ab8eeac067bcb7084e9645046f9145951d9f,2026-09-05T23:59:59Z,absent,converter 1.1.0; pair c1d0dfddf5a1cd4afbc80101e4bac698443b8bc52b7ea427ea4c17f3e115945c; comparator bi_parity.py sha256:0803a81993929500 (no version constant),84bb5c041e11142424a9e15431dc9bdf5b272e81a44d79665631add54d6c9e8b,
view:monthly_resource_revenue_forecast_fact,looker:analytics:view:monthly_resource_revenue_forecast_fact,b001,82b3ab594f0d8f518072f3e1cc4f4ce8ac1d576e:7f56cdd8a8f46e327cfc44d6039ffcde713e84d8706d76acfe7495262415d513,absent,ed25dab4b3969cb1b59eca57039af4197d2578a12a7d4ed2e69b919e660ad4de,50d878092a1d0f8372d5f97939d2ab8eeac067bcb7084e9645046f9145951d9f,2026-09-05T23:59:59Z,absent,converter 1.1.0; pair c1d0dfddf5a1cd4afbc80101e4bac698443b8bc52b7ea427ea4c17f3e115945c; comparator bi_parity.py sha256:0803a81993929500 (no version constant),303c7f80921327923a6d801ca9bbf8f2ab91ef7c8e62624f17f067e62f236369,
view:profit_and_loss_report_fact,looker:analytics:view:profit_and_loss_report_fact,b001,82b3ab594f0d8f518072f3e1cc4f4ce8ac1d576e:9d43c76e0774c942012707ab011787553837832483a60eed499dd4dd6a36a85b,absent,7d33b0d95ba42e47e6e224d3a2c51c58a9bc831ca94381b470180d68ca52de37,50d878092a1d0f8372d5f97939d2ab8eeac067bcb7084e9645046f9145951d9f,2026-09-05T23:59:59Z,absent,converter 1.1.0; pair c1d0dfddf5a1cd4afbc80101e4bac698443b8bc52b7ea427ea4c17f3e115945c; comparator bi_parity.py sha256:0803a81993929500 (no version constant),c1b49f9a19cad3fb21f89964138656d6e7526bc68924f08c741cd5e5ac73db60,
view:project_engagements,looker:analytics:view:project_engagements,b001,82b3ab594f0d8f518072f3e1cc4f4ce8ac1d576e:5adbb5bc5e86df095db83e89deca6ae4addd7a1e3ede5f4df23b18cd8c340d77,absent,ebe5873dbc4d30f8be8e0a7ec7acf3f31266b5059cfb79c74e1b41001f5e6f63,50d878092a1d0f8372d5f97939d2ab8eeac067bcb7084e9645046f9145951d9f,2026-09-05T23:59:59Z,absent,converter 1.1.0; pair c1d0dfddf5a1cd4afbc80101e4bac698443b8bc52b7ea427ea4c17f3e115945c; comparator bi_parity.py sha256:0803a81993929500 (no version constant),dbac20ee62a63fde4334bfcaa1b2e884122761522e5f7d9432a112c835ed6439,
view:revenue_and_forecast,looker:analytics:view:revenue_and_forecast,b001,82b3ab594f0d8f518072f3e1cc4f4ce8ac1d576e:9abafe6fe918985a0ce135173aa0750eda3771390008f1cc554fca635ae2fedd,absent,b11a71b4c3f2a867167ca8081da958109a044c03c92f1ee25d409caa37af1644,50d878092a1d0f8372d5f97939d2ab8eeac067bcb7084e9645046f9145951d9f,2026-09-05T23:59:59Z,absent,converter 1.1.0; pair c1d0dfddf5a1cd4afbc80101e4bac698443b8bc52b7ea427ea4c17f3e115945c; comparator bi_parity.py sha256:0803a81993929500 (no version constant),3f6d5d01964a1d649cf10a976bb8da521979bae1aae61196be53ede888b8ff15,
view:sales_targets,looker:analytics:view:sales_targets,b001,82b3ab594f0d8f518072f3e1cc4f4ce8ac1d576e:4ecfed03b8579ceb23e871e5a48bbbe499633b7a5c7277d90290927814767c0f,absent,93b0763959c94e5a72ee9f5f3d4ea768bf31bd909c60e599759203dba8bcf0ab,50d878092a1d0f8372d5f97939d2ab8eeac067bcb7084e9645046f9145951d9f,2026-09-05T23:59:59Z,absent,converter 1.1.0; pair c1d0dfddf5a1cd4afbc80101e4bac698443b8bc52b7ea427ea4c17f3e115945c; comparator bi_parity.py sha256:0803a81993929500 (no version constant),cfef454c788b1dd207203461b5cb12246da63390beb2dabcec359a0fbc706335,
view:targets,looker:analytics:view:targets,b001,82b3ab594f0d8f518072f3e1cc4f4ce8ac1d576e:cdf5c2a555a1d37c01170774d4b74d8345562717505de415a56306dd0a949688,absent,8d6c35a3f17544529d1a0931cb5339816b73f007708a35fa50c6c1ec30efc8b7,50d878092a1d0f8372d5f97939d2ab8eeac067bcb7084e9645046f9145951d9f,2026-09-05T23:59:59Z,absent,converter 1.1.0; pair c1d0dfddf5a1cd4afbc80101e4bac698443b8bc52b7ea427ea4c17f3e115945c; comparator bi_parity.py sha256:0803a81993929500 (no version constant),14f3ffc43cbe8c12fc5fb016d4043e13b53c35dd88491b68c6b545890c79d321,
view:companies_dim,looker:analytics:view:companies_dim,b001,82b3ab594f0d8f518072f3e1cc4f4ce8ac1d576e:3b26281241f029fd82a4d78d387c1f170b454e2b81852fdb2f68a7c9457d7d7f,absent,cdff02c2946e0c658f42a4af6c4a2471fbecdc2361a756bcb41f730ccac5bfde,50d878092a1d0f8372d5f97939d2ab8eeac067bcb7084e9645046f9145951d9f,2026-09-05T23:59:59Z,absent,converter 1.1.0; pair c1d0dfddf5a1cd4afbc80101e4bac698443b8bc52b7ea427ea4c17f3e115945c; comparator bi_parity.py sha256:0803a81993929500 (no version constant),2c06aa44311f9c1a82547ba08d4b7ad403ebe398e07c064e9640575c38d5aa52,
view:contacts_dim,looker:analytics:view:contacts_dim,b001,82b3ab594f0d8f518072f3e1cc4f4ce8ac1d576e:17cb49f197afcc7cdc2fa94c7e44ffad200c94954eb40c864d5ee20f17c540de,absent,1ddaa0b2179ab6e97371195ee603a0ae822e300d4f7b9a64161215e9d9ddcecd,50d878092a1d0f8372d5f97939d2ab8eeac067bcb7084e9645046f9145951d9f,2026-09-05T23:59:59Z,absent,converter 1.1.0; pair c1d0dfddf5a1cd4afbc80101e4bac698443b8bc52b7ea427ea4c17f3e115945c; comparator bi_parity.py sha256:0803a81993929500 (no version constant),f92165fea1c24f8ce9dffa6fdd9d045a7e4c1b21a2c9479f7cceaea2c16e298a,
view:customer_meetings,looker:analytics:view:customer_meetings,b001,82b3ab594f0d8f518072f3e1cc4f4ce8ac1d576e:d8d3f32a72e4501f81e335284420bd0096a1a50822955e189f8437820eaee25c,absent,d338c6f70acc8f9a3b33fbda99c85ef66922add26a2cc78072512a3b4a7d7c82,50d878092a1d0f8372d5f97939d2ab8eeac067bcb7084e9645046f9145951d9f,2026-09-05T23:59:59Z,absent,converter 1.1.0; pair c1d0dfddf5a1cd4afbc80101e4bac698443b8bc52b7ea427ea4c17f3e115945c; comparator bi_parity.py sha256:0803a81993929500 (no version constant),6bb704434e95656761bbff7c810fe6a98eeabefd9dc76dbfb78404cc4ac43ee9,
view:delivery_projects_dim,looker:analytics:view:delivery_projects_dim,b001,82b3ab594f0d8f518072f3e1cc4f4ce8ac1d576e:da40deace9706bd05a6f4038277b5a8845c844b4db38c2f5ab2552491fe1a4ab,absent,e12b2d3169ace57da6532a7e184474dd079457561180f5688e49fe03f1c4a298,50d878092a1d0f8372d5f97939d2ab8eeac067bcb7084e9645046f9145951d9f,2026-09-05T23:59:59Z,absent,converter 1.1.0; pair c1d0dfddf5a1cd4afbc80101e4bac698443b8bc52b7ea427ea4c17f3e115945c; comparator bi_parity.py sha256:0803a81993929500 (no version constant),e9b0325a8e1d26a43441372612ff739335ec39b365cec319e00553f8d50e4f03,
view:delivery_tasks_fact,looker:analytics:view:delivery_tasks_fact,b001,82b3ab594f0d8f518072f3e1cc4f4ce8ac1d576e:e1c05615b831cdc302f3dda8e07015c1cf06357d3a2a33db6f7dd168ee0829e8,absent,c14a1ab242fb9ded06dd23dbb006b29371f6ef2db5f467c189f810933f789f48,50d878092a1d0f8372d5f97939d2ab8eeac067bcb7084e9645046f9145951d9f,2026-09-05T23:59:59Z,absent,converter 1.1.0; pair c1d0dfddf5a1cd4afbc80101e4bac698443b8bc52b7ea427ea4c17f3e115945c; comparator bi_parity.py sha256:0803a81993929500 (no version constant),ce8976509a553df4aca9c00a82a69c363cb2bcdf137ccf8486484bae418bee4b,
view:engagements,looker:analytics:view:engagements,b001,82b3ab594f0d8f518072f3e1cc4f4ce8ac1d576e:a46244695769b082623d3368d5a80e5243d85ac9063723922b093b8094509436,absent,7941b7ae77e8245c12c02fd22f599a1b3576d5588136eb61cb3ed7249653247b,50d878092a1d0f8372d5f97939d2ab8eeac067bcb7084e9645046f9145951d9f,2026-09-05T23:59:59Z,absent,converter 1.1.0; pair c1d0dfddf5a1cd4afbc80101e4bac698443b8bc52b7ea427ea4c17f3e115945c; comparator bi_parity.py sha256:0803a81993929500 (no version constant),18a8b938741d0a3dc9544658316c9665734d9f06a7c706365b39666e6478ebf7,
view:exchange_rates,looker:analytics:view:exchange_rates,b001,82b3ab594f0d8f518072f3e1cc4f4ce8ac1d576e:9b7c0b61fd12bc6191a5bdc6ea87ffcf53171062028333427d19f588ef5951b0,absent,a9cea095dd4d8b189ec2d554e04f78d4d9bb97aa7da1c80974b2ad4841f93063,50d878092a1d0f8372d5f97939d2ab8eeac067bcb7084e9645046f9145951d9f,2026-09-05T23:59:59Z,absent,converter 1.1.0; pair c1d0dfddf5a1cd4afbc80101e4bac698443b8bc52b7ea427ea4c17f3e115945c; comparator bi_parity.py sha256:0803a81993929500 (no version constant),819f60acc039da398417fb4010b9d3fb49a278c8a4d468e8081d2762e9cd91b3,
view:invoices_fact,looker:analytics:view:invoices_fact,b001,82b3ab594f0d8f518072f3e1cc4f4ce8ac1d576e:c43c0080aca35df098c5d8bc900a77d349512d84a76934c3b7c1cff3a971e6d9,absent,3b1a356e02ed5edcbb3f8765939ab132b671db861e480d8b665a597fc9a2cf18,50d878092a1d0f8372d5f97939d2ab8eeac067bcb7084e9645046f9145951d9f,2026-09-05T23:59:59Z,absent,converter 1.1.0; pair c1d0dfddf5a1cd4afbc80101e4bac698443b8bc52b7ea427ea4c17f3e115945c; comparator bi_parity.py sha256:0803a81993929500 (no version constant),77b730c42da5fc541f09041b25dde496ed2cce3e5aad5d1a85c4255a19cf8a31,
view:meeting_contact_lines_fact,looker:analytics:view:meeting_contact_lines_fact,b001,82b3ab594f0d8f518072f3e1cc4f4ce8ac1d576e:30e8aaf8a96611087d976585387cadeb0e002345a24b76cc395a353d1f520c06,absent,9705beba64b7b092f56967d5baf1d242551913f852bbd24e659b36dbb3894d94,50d878092a1d0f8372d5f97939d2ab8eeac067bcb7084e9645046f9145951d9f,2026-09-05T23:59:59Z,absent,converter 1.1.0; pair c1d0dfddf5a1cd4afbc80101e4bac698443b8bc52b7ea427ea4c17f3e115945c; comparator bi_parity.py sha256:0803a81993929500 (no version constant),ba1487345fa8975134f3086bee1e0de9c2c9a14131eec40daa2de635ffa7b211,
view:messages_fact,looker:analytics:view:messages_fact,b001,82b3ab594f0d8f518072f3e1cc4f4ce8ac1d576e:07886d2c3bb7b47bfba1e58598208dd54cc1d301783e8b000182a312c2b5fb50,absent,1b45743a5bb4df80003b3436d0ae0fb6600e3dfeee350786393dfed5992228bf,50d878092a1d0f8372d5f97939d2ab8eeac067bcb7084e9645046f9145951d9f,2026-09-05T23:59:59Z,absent,converter 1.1.0; pair c1d0dfddf5a1cd4afbc80101e4bac698443b8bc52b7ea427ea4c17f3e115945c; comparator bi_parity.py sha256:0803a81993929500 (no version constant),263df804965b04499d40672d1bbf9d39b994c947290451c3275e9d9f1a87ae9a,
view:nps_survey_results_fact,looker:analytics:view:nps_survey_results_fact,b001,82b3ab594f0d8f518072f3e1cc4f4ce8ac1d576e:f228ced485de5a5fc64881255fe88ed620ce377062486553e9d98277266f0962,absent,ad7219edb9fc033e204829bbc2b6f380b771ad479c99f07202f08af59028bcf8,50d878092a1d0f8372d5f97939d2ab8eeac067bcb7084e9645046f9145951d9f,2026-09-05T23:59:59Z,absent,converter 1.1.0; pair c1d0dfddf5a1cd4afbc80101e4bac698443b8bc52b7ea427ea4c17f3e115945c; comparator bi_parity.py sha256:0803a81993929500 (no version constant),2b7b7238ffc32af11d3871bb66383efcc7122302bffd2c35dfe90797b2c614c8,
view:payments_fact,looker:analytics:view:payments_fact,b001,82b3ab594f0d8f518072f3e1cc4f4ce8ac1d576e:f095f6aa15e438ef918f996ad4efe20978b96b25c65dc09205fcda022879f561,absent,7b52f5438ffd9f58562571af72f680a63322ab3dbf14ffb92f014e6d0ff3a60a,50d878092a1d0f8372d5f97939d2ab8eeac067bcb7084e9645046f9145951d9f,2026-09-05T23:59:59Z,absent,converter 1.1.0; pair c1d0dfddf5a1cd4afbc80101e4bac698443b8bc52b7ea427ea4c17f3e115945c; comparator bi_parity.py sha256:0803a81993929500 (no version constant),2595ee1287cb013124fc9fbdd1db078ec756aebb6b634f585ac3c8f2a3557131,
view:timesheet_projects_dim,looker:analytics:view:timesheet_projects_dim,b001,82b3ab594f0d8f518072f3e1cc4f4ce8ac1d576e:d53481cdbb93e806c7cdef8edd7273c9d4e4146298bfd3b97eebbda7e248bc93,absent,82c108bbfdd647b8e7d9bb706a40a439852702cdffab537a4e5eeba2afe051e5,50d878092a1d0f8372d5f97939d2ab8eeac067bcb7084e9645046f9145951d9f,2026-09-05T23:59:59Z,absent,converter 1.1.0; pair c1d0dfddf5a1cd4afbc80101e4bac698443b8bc52b7ea427ea4c17f3e115945c; comparator bi_parity.py sha256:0803a81993929500 (no version constant),3c91650bb19cd2ebd94812f4668cef27b9d3dcd6474ff0ca8fd794f5ed977768,
view:timesheet_tasks_dim,looker:analytics:view:timesheet_tasks_dim,b001,82b3ab594f0d8f518072f3e1cc4f4ce8ac1d576e:55b2c05a416dcd1a6a2a0e1f93218a5634ffcd844e50486645e0163863b6b168,absent,3b70fe7d8670c32ea81c16bfda1a76e68a8c56e6361aacb4053c9c3cbe364fd6,50d878092a1d0f8372d5f97939d2ab8eeac067bcb7084e9645046f9145951d9f,2026-09-05T23:59:59Z,absent,converter 1.1.0; pair c1d0dfddf5a1cd4afbc80101e4bac698443b8bc52b7ea427ea4c17f3e115945c; comparator bi_parity.py sha256:0803a81993929500 (no version constant),36e4650056be718f3fb29d45b58278cac00111074cead82e9679d6f7244d4782,
